                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8753,                0.26306,                0.50872,                0.25175,                 0.1043,                0.05044,                0.02261,                 1.1093,                0.60211,                 0.1941,                 0.0001,                 0.0001,                 0.0001
                      2,                 1.4051,                0.49651,                0.32536,                0.42838,                 0.1469,                0.17899,                 0.1079,                 0.9332,                0.61666,                 0.1562,                 0.0001,                 0.0001,                 0.0001
                      3,                 1.3017,                0.49825,                 0.2848,                 0.4211,                0.18692,                0.19717,                0.11057,                0.85917,                0.60576,                0.13609,                 0.0001,                 0.0001,                 0.0001
                      4,                 1.2265,                0.50363,                0.25642,                0.41686,                0.22236,                0.22002,                0.12542,                0.80711,                0.60337,                0.12151,                 0.0001,                 0.0001,                 0.0001
                      5,                 1.1878,                0.50229,                0.24475,                0.37974,                0.24831,                0.24189,                0.14008,                0.77929,                0.60119,                0.11675,                 0.0001,                 0.0001,                 0.0001
                      6,                  1.149,                0.50412,                0.22885,                0.38133,                0.26211,                0.25114,                0.14676,                0.76206,                0.60259,                0.11199,                 0.0001,                 0.0001,                 0.0001
                      7,                 1.1175,                0.50373,                0.21567,                0.38498,                0.27384,                0.26284,                0.15457,                0.75145,                0.60007,                0.11018,                 0.0001,                 0.0001,                 0.0001
                      8,                 1.0916,                 0.5049,                0.21165,                0.39477,                 0.2819,                0.27424,                0.16221,                0.73989,                0.59927,                0.10754,                 0.0001,                 0.0001,                 0.0001
                      9,                 1.0786,                0.50434,                0.20735,                0.40858,                0.29154,                0.28485,                0.16931,                0.72713,                0.59697,                0.10445,                 0.0001,                 0.0001,                 0.0001
                     10,                 1.0676,                0.50028,                0.20143,                0.42822,                0.30031,                0.29839,                0.17873,                0.71606,                0.59559,                0.10256,                 0.0001,                 0.0001,                 0.0001
                     11,                 1.0466,                0.50458,                0.19091,                0.43213,                0.30943,                0.30993,                0.18607,                0.70513,                0.59222,                0.09955,                 0.0001,                 0.0001,                 0.0001
                     12,                 1.0236,                0.50481,                0.18544,                0.43793,                0.31672,                 0.3191,                0.19253,                0.69446,                0.59109,                0.09669,                 0.0001,                 0.0001,                 0.0001
                     13,                 1.0282,                0.50139,                0.18723,                0.44673,                0.32727,                0.33014,                0.19962,                0.68637,                0.58946,                0.09493,                 0.0001,                 0.0001,                 0.0001
                     14,                 1.0045,                0.50392,                0.18087,                0.45679,                0.33669,                  0.341,                0.20622,                0.67789,                0.58818,                0.09285,                 0.0001,                 0.0001,                 0.0001
                     15,                 1.0038,                0.49842,                0.17617,                0.48514,                0.34442,                0.35182,                0.21275,                 0.6689,                0.58646,                0.09056,                 0.0001,                 0.0001,                 0.0001
                     16,                 0.9828,                0.50386,                  0.173,                0.49438,                0.35128,                0.36251,                0.22037,                0.66151,                0.58447,                0.08827,                 0.0001,                 0.0001,                 0.0001
                     17,                0.97471,                  0.501,                0.16837,                0.50463,                0.35576,                0.36961,                0.22445,                0.65415,                 0.5831,                 0.0864,                 0.0001,                 0.0001,                 0.0001
                     18,                 0.9716,                0.50053,                0.16949,                0.51228,                0.36352,                0.37907,                0.23103,                0.64704,                0.58106,                0.08429,                 0.0001,                 0.0001,                 0.0001
                     19,                0.96259,                0.50018,                0.16698,                0.52657,                0.37191,                0.38701,                0.23654,                0.64175,                0.57899,                0.08294,                 0.0001,                 0.0001,                 0.0001
                     20,                0.96048,                0.49876,                0.16289,                 0.5288,                0.38076,                0.39648,                0.24295,                0.63553,                0.57744,                0.08128,                 0.0001,                 0.0001,                 0.0001
                     21,                0.94791,                0.50162,                 0.1646,                0.53209,                0.38939,                0.40509,                0.24826,                0.62874,                 0.5767,                0.07974,                 0.0001,                 0.0001,                 0.0001
                     22,                 0.9468,                0.49796,                0.16296,                0.54481,                0.39477,                 0.4124,                0.25266,                0.62448,                0.57657,                0.07828,                 0.0001,                 0.0001,                 0.0001
                     23,                0.94932,                0.49813,                 0.1653,                0.54849,                0.39779,                0.41519,                0.25413,                0.62256,                 0.5746,                0.07839,                 0.0001,                 0.0001,                 0.0001
                     24,                0.93592,                0.49762,                0.15719,                0.55691,                0.40423,                0.42106,                0.25864,                0.61864,                0.57267,                0.07716,                 0.0001,                 0.0001,                 0.0001
                     25,                0.92427,                0.49999,                0.15468,                 0.5615,                0.41108,                0.42608,                0.26198,                0.61464,                0.57317,                 0.0765,                 0.0001,                 0.0001,                 0.0001
                     26,                0.91541,                0.49937,                0.15161,                0.56413,                0.41737,                 0.4332,                0.26594,                0.61055,                 0.5714,                0.07545,                 0.0001,                 0.0001,                 0.0001
                     27,                0.91091,                0.49913,                0.14945,                0.56578,                0.42749,                0.43928,                0.26929,                0.60789,                0.57096,                0.07533,                 0.0001,                 0.0001,                 0.0001
                     28,                0.91855,                0.49425,                0.15285,                0.56754,                0.43217,                0.44413,                0.27237,                0.60426,                0.57017,                0.07444,                 0.0001,                 0.0001,                 0.0001
                     29,                0.90306,                 0.4982,                0.15059,                0.57009,                0.43523,                0.44815,                0.27515,                0.60116,                0.57012,                0.07337,                 0.0001,                 0.0001,                 0.0001
                     30,                0.89904,                0.49846,                0.14908,                0.57172,                0.43968,                0.45315,                0.27911,                0.59826,                 0.5686,                0.07263,                 0.0001,                 0.0001,                 0.0001
                     31,                0.89732,                0.49868,                0.14799,                0.58108,                 0.4395,                0.45718,                0.28257,                0.59507,                 0.5677,                0.07228,                 0.0001,                 0.0001,                 0.0001
                     32,                 0.8897,                0.49732,                0.14736,                0.58064,                0.44482,                0.46068,                0.28474,                0.59234,                0.56745,                0.07164,                 0.0001,                 0.0001,                 0.0001
                     33,                0.88804,                0.49632,                0.14593,                0.58957,                0.44786,                 0.4665,                0.28887,                0.58925,                0.56686,                0.07096,                 0.0001,                 0.0001,                 0.0001
                     34,                0.87827,                0.49752,                0.13939,                0.59248,                0.45326,                0.47156,                0.29224,                0.58886,                0.56512,                0.07226,                 0.0001,                 0.0001,                 0.0001
                     35,                0.88128,                0.49531,                0.14296,                0.59688,                0.45337,                0.47496,                0.29426,                0.58654,                0.56405,                0.07161,                 0.0001,                 0.0001,                 0.0001
                     36,                0.88562,                0.49497,                0.14493,                0.60131,                0.45326,                0.47567,                0.29506,                0.58443,                0.56405,                  0.071,                 0.0001,                 0.0001,                 0.0001
                     37,                0.87914,                0.49558,                0.14261,                0.60656,                0.45961,                0.47778,                0.29645,                0.58213,                0.56476,                0.07021,                 0.0001,                 0.0001,                 0.0001
                     38,                0.86736,                0.49491,                 0.1388,                0.60771,                0.46292,                0.48205,                0.29969,                0.57895,                0.56476,                0.06964,                 0.0001,                 0.0001,                 0.0001
                     39,                0.86019,                0.49842,                0.13664,                0.60856,                0.46515,                0.48378,                0.30093,                0.57732,                0.56373,                0.06891,                 0.0001,                 0.0001,                 0.0001
                     40,                0.86786,                0.49367,                0.13934,                 0.6064,                0.46895,                0.48589,                0.30164,                0.57493,                0.56407,                0.06838,                 0.0001,                 0.0001,                 0.0001
                     41,                0.85664,                0.49748,                0.13533,                0.60875,                0.47061,                0.48686,                0.30231,                0.57417,                0.56376,                0.06795,                 0.0001,                 0.0001,                 0.0001
                     42,                0.85453,                0.49662,                0.13487,                0.60896,                0.47228,                 0.4882,                  0.303,                0.57223,                0.56302,                0.06733,                 0.0001,                 0.0001,                 0.0001
                     43,                0.85773,                0.49508,                0.13444,                0.60867,                0.47502,                0.49018,                0.30398,                0.57167,                0.56221,                0.06772,                 0.0001,                 0.0001,                 0.0001
                     44,                0.84687,                0.49573,                0.13273,                0.61645,                0.47813,                0.49433,                0.30635,                0.56991,                0.56216,                0.06697,                 0.0001,                 0.0001,                 0.0001
                     45,                0.85452,                0.49317,                0.13496,                0.61655,                0.47707,                0.49614,                0.30807,                0.56881,                0.56128,                0.06667,                 0.0001,                 0.0001,                 0.0001
                     46,                0.84276,                0.49569,                0.13074,                 0.6162,                0.47864,                 0.4972,                0.30847,                 0.5664,                0.56133,                 0.0663,                 0.0001,                 0.0001,                 0.0001
                     47,                0.83771,                0.49427,                0.12839,                0.61658,                0.47686,                0.49786,                0.31007,                0.56453,                0.56028,                0.06596,                 0.0001,                 0.0001,                 0.0001
                     48,                0.84166,                 0.4942,                0.12993,                0.62175,                0.47745,                0.50015,                0.31134,                0.56271,                0.56139,                0.06543,                 0.0001,                 0.0001,                 0.0001
                     49,                0.83202,                0.49455,                0.12903,                0.62611,                0.47976,                0.50208,                0.31291,                0.56153,                0.56041,                0.06525,                 0.0001,                 0.0001,                 0.0001
                     50,                0.84236,                0.49313,                0.13003,                0.62525,                0.48257,                0.50375,                0.31424,                0.55993,                0.56019,                0.06461,                 0.0001,                 0.0001,                 0.0001
                     51,                0.83151,                0.49483,                0.13008,                0.62472,                0.48651,                0.50541,                0.31566,                0.55724,                0.56183,                0.06382,                 0.0001,                 0.0001,                 0.0001
                     52,                0.83496,                0.49297,                0.12934,                0.62241,                0.48667,                0.50574,                 0.3156,                 0.5566,                0.56157,                0.06402,                 0.0001,                 0.0001,                 0.0001
                     53,                0.84322,                0.48787,                0.13152,                0.62189,                0.49036,                0.50776,                0.31673,                0.55587,                0.56164,                0.06394,                 0.0001,                 0.0001,                 0.0001
                     54,                0.83628,                0.49107,                0.13236,                0.62871,                0.48967,                0.51042,                0.31874,                0.55426,                0.56199,                0.06408,                 0.0001,                 0.0001,                 0.0001
                     55,                0.83406,                0.49198,                0.12881,                0.63305,                0.49137,                0.51394,                0.32101,                0.55375,                0.56136,                0.06404,                 0.0001,                 0.0001,                 0.0001
                     56,                0.81822,                0.49476,                0.12346,                 0.6319,                0.49506,                0.51591,                 0.3222,                0.55219,                0.56191,                0.06389,                 0.0001,                 0.0001,                 0.0001
                     57,                0.82478,                 0.4926,                 0.1263,                0.63351,                0.49534,                0.51578,                0.32218,                0.55019,                0.56204,                 0.0632,                 0.0001,                 0.0001,                 0.0001
                     58,                 0.8281,                0.48998,                0.12694,                0.63934,                0.49805,                0.51858,                0.32429,                0.55011,                0.56035,                0.06368,                 0.0001,                 0.0001,                 0.0001
                     59,                0.82433,                0.49269,                0.12469,                0.63776,                 0.4968,                0.51716,                0.32319,                0.54907,                0.56042,                0.06335,                 0.0001,                 0.0001,                 0.0001
                     60,                0.82251,                0.49171,                0.12607,                0.63548,                0.50068,                0.51815,                0.32324,                0.54776,                0.56065,                0.06296,                 0.0001,                 0.0001,                 0.0001
                     61,                 0.8132,                0.49151,                0.12469,                0.63529,                0.49869,                0.51821,                0.32357,                0.54723,                0.55955,                0.06241,                 0.0001,                 0.0001,                 0.0001
